nation_id,nation_name
1,al ALB
2,am ARM
3,ao ANG
4,ar ARG
5,at AUT
6,au AUS
7,ba BIH
8,bd BAN
9,be BEL
10,bf BFA
11,bg BUL
12,bi BDI
13,bj BEN
14,br BRA
15,ca CAN
16,cd COD
17,cf CTA
18,cg CGO
19,ch SUI
20,ci CIV
21,cl CHI
22,cm CMR
23,cn CHN
24,co COL
25,cr CRC
26,cv CPV
27,cw CUW
28,cy CYP
29,cz CZE
30,de GER
31,dk DEN
32,do DOM
33,dz ALG
34,ec ECU
35,ee EST
36,eg EGY
37,eng ENG
38,es ESP
39,fi FIN
40,fo FRO
41,fr FRA
42,ga GAB
43,gd GRN
44,ge GEO
45,gf GUF
46,gh GHA
47,gm GAM
48,gn GUI
49,gp GLP
50,gq EQG
51,gr GRE
52,gw GNB
53,hn HON
54,hr CRO
55,ht HAI
56,hu HUN
57,id IDN
58,ie IRL
59,il ISR
60,iq IRQ
61,ir IRN
62,is ISL
63,it ITA
64,jm JAM
65,jo JOR
66,jp JPN
67,ke KEN
68,km COM
69,kn SKN
70,kr KOR
71,lt LTU
72,lu LUX
73,lv LVA
74,ly LBY
75,ma MAR
76,md MDA
77,me MNE
78,mg MAD
79,mk MKD
80,ml MLI
81,mq MTQ
82,mr MTN
83,ms MSR
84,mt MLT
85,mx MEX
86,my MAS
87,mz MOZ
88,nc NCL
89,ng NGA
90,nir NIR
91,nl NED
92,no NOR
93,nz NZL
94,pa PAN
95,pe PER
96,ph PHI
97,pl POL
98,pr PUR
99,ps PLE
100,pt POR
101,py PAR
102,ro ROU
103,rs SRB
104,ru RUS
105,sa KSA
106,sct SCO
107,se SWE
108,si SVN
109,sk SVK
110,sl SLE
111,sn SEN
112,sr SUR
113,sy SYR
114,td CHA
115,tg TOG
116,tn TUN
117,tr TUR
118,ua UKR
119,ug UGA
120,us USA
121,uy URU
122,uz UZB
123,ve VEN
124,wls WAL
125,xk KVX
126,za RSA
127,zm ZAM
128,zw ZIM
